type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.estimatedTime,arrival.baggage,arrival.gate,error
departure,active,vca,vvct,2023-11-03t11:35:00.000,,,,dad,vvdn,1,2023-11-03t13:05:00.000,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t11:35:00.000,2023-11-03t11:32:00.000,2023-11-03t11:32:00.000,2023-11-03t11:32:00.000,vii,vvvh,,2023-11-03t13:25:00.000,2023-11-03t13:04:00.000,,a1,a1,2480,a12480,a12480,,vietjet air,vj,vjc,480,vj480,vjc480,,,,,,,,
departure,active,vca,vvct,2023-11-03t11:35:00.000,2023-11-03t11:32:00.000,2023-11-03t11:32:00.000,2023-11-03t11:32:00.000,vii,vvvh,,2023-11-03t13:25:00.000,2023-11-03t13:04:00.000,flexflight,w2,fxt,4480,w24480,fxt4480,,vietjet air,vj,vjc,480,vj480,vjc480,,,,,,,,
departure,active,vca,vvct,2023-11-03t11:35:00.000,2023-11-03t11:32:00.000,2023-11-03t11:32:00.000,2023-11-03t11:32:00.000,vii,vvvh,,2023-11-03t13:25:00.000,2023-11-03t13:04:00.000,,h1,h1,4438,h14438,h14438,,vietjet air,vj,vjc,480,vj480,vjc480,,,,,,,,
departure,active,vca,vvct,2023-11-03t11:35:00.000,2023-11-03t11:32:00.000,2023-11-03t11:32:00.000,2023-11-03t11:32:00.000,vii,vvvh,,2023-11-03t13:25:00.000,2023-11-03t13:04:00.000,vietjet air,vj,vjc,480,vj480,vjc480,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t12:35:00.000,,,,pqc,vvpq,,2023-11-03t13:25:00.000,,bamboo airways,qh,bav,2181,qh2181,bav2181,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t13:20:00.000,,,,dad,vvdn,1,2023-11-03t14:50:00.000,,vietnam airlines,vn,hvn,1440,vn1440,hvn1440,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t14:15:00.000,2023-11-03t14:28:00.000,2023-11-03t14:28:00.000,2023-11-03t14:28:00.000,han,vvnb,t1,2023-11-03t16:20:00.000,,vietnam airlines,vn,hvn,1202,vn1202,hvn1202,14.0,,,,,,,,,,,,,,
departure,unknown,vca,vvct,2023-11-03t14:30:00.000,,,,tpe,rctp,1,2023-11-03t18:55:00.000,,,h1,h1,5181,h15181,h15181,,vietjet air,vj,vjc,866,vj866,vjc866,,,,,,,,
departure,unknown,vca,vvct,2023-11-03t14:30:00.000,,,,tpe,rctp,1,2023-11-03t18:55:00.000,,,a1,a1,2866,a12866,a12866,,vietjet air,vj,vjc,866,vj866,vjc866,,,,,,,,
